Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5
0,2024.05.07 23:00:00,1.07618,1.07542,1.07609,Positive,-0.000022,0.001979,0.001335,0.001746,0,2024.05.07 23:00:00,1.07614,1.07635,1.07197,Negative,-0.000445,-0.000094,0.000210,0.000341,0,2024.05.07 23:00:00,1.07552,1.07582,1.07457,Negative,-0.000071,-0.000466,-0.000194,-0.000254
1,2024.05.07 22:00:00,1.07622,1.07542,1.07609,Positive,0.000040,0.002032,0.001344,0.001755,1,2024.05.07 22:45:00,1.07618,1.07638,1.07196,Negative,-0.000476,-0.000077,0.000221,0.000355,1,2024.05.07 22:55:00,1.07552,1.07583,1.07457,Negative,-0.000096,-0.000475,-0.000193,-0.000252
2,2024.05.07 21:00:00,1.07628,1.07542,1.07609,Positive,0.000119,0.002086,0.001353,0.001765,2,2024.05.07 22:30:00,1.07622,1.07642,1.07195,Negative,-0.000508,-0.000059,0.000231,0.000370,2,2024.05.07 22:50:00,1.07551,1.07584,1.07456,Negative,-0.000125,-0.000483,-0.000192,-0.000250
3,2024.05.07 20:00:00,1.07636,1.07543,1.07610,Positive,0.000269,0.002156,0.001366,0.001780,3,2024.05.07 22:15:00,1.07629,1.07647,1.07195,Negative,-0.000516,-0.000032,0.000245,0.000387,3,2024.05.07 22:45:00,1.07551,1.07585,1.07456,Negative,-0.000153,-0.000490,-0.000190,-0.000247
4,2024.05.07 19:00:00,1.07639,1.07539,1.07610,Positive,0.000406,0.002215,0.001374,0.001789,4,2024.05.07 22:00:00,1.07636,1.07652,1.07194,Negative,-0.000511,-0.000001,0.000259,0.000406,4,2024.05.07 22:40:00,1.07552,1.07587,1.07456,Negative,-0.000183,-0.000495,-0.000187,-0.000243
5,2024.05.07 18:00:00,1.07635,1.07533,1.07609,Positive,0.000433,0.002238,0.001371,0.001782,5,2024.05.07 21:45:00,1.07644,1.07657,1.07193,Negative,-0.000504,0.000030,0.000273,0.000425,5,2024.05.07 22:35:00,1.07553,1.07589,1.07456,Negative,-0.000205,-0.000497,-0.000183,-0.000237
6,2024.05.07 17:00:00,1.07630,1.07524,1.07609,Positive,0.000499,0.002269,0.001370,0.001779,6,2024.05.07 21:30:00,1.07654,1.07664,1.07193,Negative,-0.000462,0.000071,0.000290,0.000448,6,2024.05.07 22:30:00,1.07554,1.07592,1.07456,Negative,-0.000227,-0.000497,-0.000178,-0.000231
7,2024.05.07 16:00:00,1.07620,1.07514,1.07609,Positive,0.000462,0.002270,0.001359,0.001762,7,2024.05.07 21:15:00,1.07665,1.07671,1.07192,Negative,-0.000400,0.000115,0.000308,0.000471,7,2024.05.07 22:25:00,1.07556,1.07594,1.07456,Negative,-0.000256,-0.000498,-0.000174,-0.000225
8,2024.05.07 15:00:00,1.07607,1.07502,1.07609,Positive,0.000380,0.002260,0.001345,0.001741,8,2024.05.07 21:00:00,1.07676,1.07677,1.07192,Negative,-0.000313,0.000163,0.000326,0.000496,8,2024.05.07 22:20:00,1.07558,1.07597,1.07456,Negative,-0.000280,-0.000495,-0.000169,-0.000218
9,2024.05.07 14:00:00,1.07599,1.07493,1.07608,Positive,0.000322,0.002261,0.001334,0.001724,9,2024.05.07 20:45:00,1.07686,1.07683,1.07191,Negative,-0.000237,0.000203,0.000342,0.000516,9,2024.05.07 22:15:00,1.07560,1.07600,1.07455,Negative,-0.000302,-0.000491,-0.000163,-0.000210
10,2024.05.07 13:00:00,1.07594,1.07487,1.07608,Positive,0.000334,0.002284,0.001329,0.001716,10,2024.05.07 20:30:00,1.07694,1.07687,1.07190,Negative,-0.000153,0.000242,0.000357,0.000536,10,2024.05.07 22:10:00,1.07563,1.07603,1.07455,Negative,-0.000327,-0.000486,-0.000156,-0.000201
11,2024.05.07 12:00:00,1.07590,1.07480,1.07608,Positive,0.000319,0.002299,0.001322,0.001703,11,2024.05.07 20:15:00,1.07700,1.07690,1.07190,Positive,-0.000098,0.000269,0.000368,0.000551,11,2024.05.07 22:05:00,1.07565,1.07606,1.07455,Negative,-0.000363,-0.000483,-0.000150,-0.000193
12,2024.05.07 11:00:00,1.07590,1.07476,1.07608,Positive,0.000392,0.002338,0.001321,0.001700,12,2024.05.07 20:00:00,1.07707,1.07694,1.07189,Positive,-0.000016,0.000301,0.000380,0.000567,12,2024.05.07 22:00:00,1.07567,1.07609,1.07455,Negative,-0.000414,-0.000481,-0.000145,-0.000186
13,2024.05.07 10:00:00,1.07588,1.07471,1.07608,Positive,0.000435,0.002365,0.001316,0.001692,13,2024.05.07 19:45:00,1.07713,1.07696,1.07188,Positive,0.000080,0.000332,0.000391,0.000582,13,2024.05.07 21:55:00,1.07570,1.07613,1.07455,Negative,-0.000452,-0.000474,-0.000138,-0.000176
14,2024.05.07 09:00:00,1.07584,1.07464,1.07608,Positive,0.000475,0.002390,0.001310,0.001681,14,2024.05.07 19:30:00,1.07714,1.07697,1.07187,Positive,0.000113,0.000342,0.000396,0.000588,14,2024.05.07 21:50:00,1.07575,1.07617,1.07455,Negative,-0.000481,-0.000461,-0.000129,-0.000164
15,2024.05.07 08:00:00,1.07582,1.07458,1.07608,Positive,0.000532,0.002416,0.001305,0.001671,15,2024.05.07 19:15:00,1.07715,1.07696,1.07186,Positive,0.000150,0.000351,0.000400,0.000594,15,2024.05.07 21:45:00,1.07581,1.07623,1.07455,Negative,-0.000500,-0.000444,-0.000118,-0.000151
16,2024.05.07 07:00:00,1.07581,1.07451,1.07608,Positive,0.000650,0.002456,0.001302,0.001666,16,2024.05.07 19:00:00,1.07714,1.07695,1.07185,Positive,0.000162,0.000351,0.000402,0.000596,16,2024.05.07 21:40:00,1.07587,1.07628,1.07455,Negative,-0.000505,-0.000422,-0.000107,-0.000136
