0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5,Idx,Period M1,FMA M1,SLMA M1,550MA M1,DeltaC M1,Macd M1,Plot2 M1,Plot3 M1,Plot4 M1,SNIPER H1,SNIPER M15,SNIPER M5,SNIPER M1,RCNT HIGHEST H1,RCNT LOWEST H1,RCNT HIGHEST M15,RCNT LOWEST M15,RCNT HIGHEST M5,RCNT LOWEST M5,RCNT HIGHEST M1,RCNT LOWEST M1
0,2024.08.13 23:00:00,1.09485,1.09392,1.08677,Positive,0.0016137,0.0011427,0.0007312,0.0010316,0,2024.08.13 23:45:00,1.09767,1.09649,1.08984,Positive,0.0011753,0.0016087,0.0007715,0.0010285,0,2024.08.13 23:55:00,1.09927,1.09869,1.09318,Positive,0.0001621,0.0012599,0.0008735,0.0011856,0,2024.08.13 23:59:00,1.09948,1.09952,1.09564,Negative,-0.0001120,0.0000124,0.0001209,0.0001902,99,99,100,0,0,0,0,0,0,0,0,0
1,2024.08.13 22:00:00,1.09452,1.09369,1.08675,Positive,0.0014929,0.0010369,0.0006934,0.0009824,1,2024.08.13 23:30:00,1.09755,1.09637,1.08982,Positive,0.0012592,0.0015866,0.0007531,0.0010037,1,2024.08.13 23:50:00,1.09927,1.09867,1.09317,Positive,0.0002050,0.0012836,0.0008766,0.0011888,1,2024.08.13 23:58:00,1.09950,1.09954,1.09563,Negative,-0.0001062,0.0000210,0.0001255,0.0001964,99,99,100,0,0,0,0,0,0,0,0,0
2,2024.08.13 21:00:00,1.09416,1.09344,1.08673,Positive,0.0012845,0.0009129,0.0006509,0.0009272,2,2024.08.13 23:15:00,1.09740,1.09623,1.08981,Positive,0.0013001,0.0015480,0.0007296,0.0009723,2,2024.08.13 23:45:00,1.09926,1.09864,1.09316,Positive,0.0002487,0.0013052,0.0008787,0.0011907,2,2024.08.13 23:57:00,1.09952,1.09955,1.09563,Negative,-0.0000972,0.0000301,0.0001302,0.0002027,98,99,100,0,0,0,0,0,0,0,0,0
3,2024.08.13 20:00:00,1.09380,1.09322,1.08670,Positive,0.0009682,0.0007699,0.0006037,0.0008660,3,2024.08.13 23:00:00,1.09723,1.09609,1.08979,Positive,0.0013233,0.0015018,0.0007039,0.0009381,3,2024.08.13 23:40:00,1.09924,1.09860,1.09315,Positive,0.0002702,0.0013187,0.0008780,0.0011890,3,2024.08.13 23:56:00,1.09953,1.09956,1.09562,Negative,-0.0000944,0.0000373,0.0001342,0.0002082,97,99,100,0,0,0,0,0,0,0,0,0
4,2024.08.13 19:00:00,1.09353,1.09305,1.08668,Positive,0.0007775,0.0006763,0.0005733,0.0008265,4,2024.08.13 22:45:00,1.09708,1.09595,1.08977,Positive,0.0013682,0.0014596,0.0006797,0.0009059,4,2024.08.13 23:35:00,1.09921,1.09855,1.09314,Positive,0.0002847,0.0013291,0.0008761,0.0011857,4,2024.08.13 23:55:00,1.09956,1.09958,1.09561,Negative,-0.0000794,0.0000476,0.0001392,0.0002148,94,99,100,0,0,0,0,0,0,0,0,0
5,2024.08.13 18:00:00,1.09331,1.09292,1.08667,Positive,0.0005695,0.0005874,0.0005452,0.0007901,5,2024.08.13 22:30:00,1.09690,1.09580,1.08975,Positive,0.0013965,0.0014099,0.0006535,0.0008710,5,2024.08.13 23:30:00,1.09917,1.09850,1.09313,Positive,0.0002990,0.0013387,0.0008738,0.0011818,5,2024.08.13 23:54:00,1.09958,1.09959,1.09561,Negative,-0.0000580,0.0000590,0.0001444,0.0002218,89,99,100,0,0,0,0,0,0,0,0,0
6,2024.08.13 17:00:00,1.09317,1.09282,1.08665,Positive,0.0004853,0.0005420,0.0005315,0.0007725,6,2024.08.13 22:15:00,1.09671,1.09564,1.08973,Positive,0.0014093,0.0013539,0.0006256,0.0008341,6,2024.08.13 23:25:00,1.09914,1.09846,1.09311,Positive,0.0003220,0.0013499,0.0008717,0.0011783,6,2024.08.13 23:53:00,1.09960,1.09960,1.09560,Negative,-0.0000390,0.0000686,0.0001490,0.0002280,79,99,100,0,0,0,0,0,0,0,0,0
7,2024.08.13 16:00:00,1.09300,1.09270,1.08663,Positive,0.0003472,0.0004862,0.0005151,0.0007514,7,2024.08.13 22:00:00,1.09651,1.09548,1.08972,Positive,0.0014010,0.0012908,0.0005959,0.0007948,7,2024.08.13 23:20:00,1.09910,1.09840,1.09310,Positive,0.0003274,0.0013550,0.0008676,0.0011721,7,2024.08.13 23:52:00,1.09962,1.09961,1.09559,Negative,-0.0000265,0.0000757,0.0001527,0.0002330,58,99,100,0,0,0,0,0,0,0,0,0
8,2024.08.13 15:00:00,1.09283,1.09261,1.08662,Positive,0.0001364,0.0004176,0.0004952,0.0007259,8,2024.08.13 21:45:00,1.09627,1.09530,1.08970,Positive,0.0013445,0.0012145,0.0005626,0.0007508,8,2024.08.13 23:15:00,1.09905,1.09835,1.09309,Positive,0.0003316,0.0013595,0.0008631,0.0011655,8,2024.08.13 23:51:00,1.09963,1.09962,1.09559,Positive,-0.0000121,0.0000826,0.0001563,0.0002379,17,99,100,0,0,0,0,0,0,0,0,0
9,2024.08.13 14:00:00,1.09276,1.09257,1.08661,Positive,0.0000476,0.0003924,0.0004896,0.0007188,9,2024.08.13 21:30:00,1.09603,1.09512,1.08968,Positive,0.0012540,0.0011311,0.0005277,0.0007048,9,2024.08.13 23:10:00,1.09902,1.09830,1.09308,Positive,0.0003484,0.0013670,0.0008594,0.0011598,9,2024.08.13 23:50:00,1.09964,1.09962,1.09558,Positive,-0.0000017,0.0000878,0.0001593,0.0002421,2,99,100,0,0,0,0,0,0,0,0,0
10,2024.08.13 13:00:00,1.09276,1.09257,1.08660,Positive,0.0000406,0.0003937,0.0004924,0.0007227,10,2024.08.13 21:15:00,1.09579,1.09495,1.08966,Positive,0.0011629,0.0010516,0.0004946,0.0006613,10,2024.08.13 23:05:00,1.09899,1.09825,1.09307,Positive,0.0003810,0.0013778,0.0008566,0.0011553,10,2024.08.13 23:49:00,1.09964,1.09962,1.09557,Positive,0.0000014,0.0000905,0.0001616,0.0002452,5,99,100,0,0,0,0,0,0,0,0,0
11,2024.08.13 12:00:00,1.09280,1.09259,1.08659,Positive,0.0001042,0.0004144,0.0005013,0.0007345,11,2024.08.13 21:00:00,1.09557,1.09479,1.08965,Positive,0.0010664,0.0009746,0.0004630,0.0006197,11,2024.08.13 23:00:00,1.09895,1.09820,1.09306,Positive,0.0004171,0.0013878,0.0008533,0.0011501,11,2024.08.13 23:48:00,1.09964,1.09962,1.09556,Positive,0.0000074,0.0000938,0.0001640,0.0002486,11,99,100,0,0,0,0,0,0,0,0,0
12,2024.08.13 11:00:00,1.09286,1.09261,1.08658,Positive,0.0002176,0.0004452,0.0005131,0.0007501,12,2024.08.13 20:45:00,1.09538,1.09465,1.08963,Positive,0.0009980,0.0009094,0.0004358,0.0005838,12,2024.08.13 22:55:00,1.09892,1.09815,1.09304,Positive,0.0004521,0.0013954,0.0008490,0.0011437,12,2024.08.13 23:47:00,1.09964,1.09962,1.09556,Positive,0.0000078,0.0000954,0.0001659,0.0002512,22,99,100,0,0,0,0,0,0,0,0,0
13,2024.08.13 10:00:00,1.09290,1.09262,1.08657,Positive,0.0003224,0.0004679,0.0005222,0.0007621,13,2024.08.13 20:30:00,1.09523,1.09454,1.08962,Positive,0.0009735,0.0008591,0.0004136,0.0005546,13,2024.08.13 22:50:00,1.09887,1.09809,1.09303,Positive,0.0004860,0.0014008,0.0008439,0.0011361,13,2024.08.13 23:46:00,1.09964,1.09962,1.09555,Positive,0.0000102,0.0000975,0.0001680,0.0002541,45,99,100,0,0,0,0,0,0,0,0,0
14,2024.08.13 09:00:00,1.09289,1.09261,1.08655,Positive,0.0003834,0.0004734,0.0005257,0.0007669,14,2024.08.13 20:15:00,1.09507,1.09442,1.08960,Positive,0.0009485,0.0008094,0.0003921,0.0005261,14,2024.08.13 22:45:00,1.09882,1.09803,1.09302,Positive,0.0005223,0.0014050,0.0008382,0.0011278,14,2024.08.13 23:45:00,1.09964,1.09962,1.09554,Positive,0.0000121,0.0000994,0.0001700,0.0002569,91,99,100,0,0,0,0,0,0,0,0,0
